Input.professor,Input.university,Input.urls,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs,Approve,Reject
jonathan appavoo,Boston University,<a href='http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html'>http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html</a> or <a href='http://www.cs.bu.edu/fac/jappavoo'>http://www.cs.bu.edu/fac/jappavoo</a>,"McMaster University, Hamilton, Ontario, Canada","University of Toronto, Toronto, Ontario, Canada",2009,"University of Toronto, Toronto, Ontario, Canada",,Assistant,Scientific Computing,,,
jonathan appavoo,Boston University,<a href='http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html'>http://www.cs.bu.edu/fac/jappavoo/jappavoo.github.com/index.html</a> or <a href='http://www.cs.bu.edu/fac/jappavoo'>http://www.cs.bu.edu/fac/jappavoo</a>,McMaster University,University of Toronto,2009,University of Toronto,,Assistant,Computer Education,http://www.cs.bu.edu/~jappavoo/Resources/Docs/shortcv.pdf,,
bruce maggs,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=2044'>http://www.cs.duke.edu/people/faculty/?csid=2044</a>,Massachusetts Institute of Technology,Massachusetts Institute of Technology,,Massachusetts Institute of Technology,,Full,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=2044,,
leonid reyzin,Boston University,<a href='http://www.cs.bu.edu/fac/reyzin'>http://www.cs.bu.edu/fac/reyzin</a>,,,,,,Associate,Graphics,http://www.cs.bu.edu/fac/reyzin/,,
carla schlatter ellis,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=16'>http://www.cs.duke.edu/people/faculty/?csid=16</a>,University of Toledo,University of Washington,,University of Washington,,Full,Operating Systems,http://www.cs.duke.edu/people/faculty/?csid=16,,
chris dwyer,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3938'>http://www.cs.duke.edu/people/faculty/?csid=3938</a> or <a href='http://www.cs.duke.edu/people/faculty/?csid=1435'>http://www.cs.duke.edu/people/faculty/?csid=1435</a>,Stanford University,"University of California, Berkeley",,Stanford University,,Assistant,Artificial Intelligence,http://www.cs.duke.edu/people/faculty/?csid=3938,,
richard west,Boston University,<a href='http://www.cs.bu.edu/fac/richwest'>http://www.cs.bu.edu/fac/richwest</a>,,"Georgia Institute of Technology ,",2006,"Georgia Institute of Technology ,",,Associate,Real-Time & Embedded Systems,http://www.cs.bu.edu/fac/richwest/cv/vita-01-04-2014.pdf,,
richard west,Boston University,<a href='http://www.cs.bu.edu/fac/richwest'>http://www.cs.bu.edu/fac/richwest</a>,University of Newcastle-upon-Tyne,"Georgia Institute of Technology, Atlanta, Georgia.",Sep-06,"Georgia Institute of Technology, Atlanta, Georgia.",,Associate,Real-Time & Embedded Systems,http://www.cs.bu.edu/fac/richwest/vita.html,,
sang (peter) chin,Boston University,<a href='http://www.cs.bu.edu/faculty/spchin'>http://www.cs.bu.edu/faculty/spchin</a>,Duke University,M.I.T,,M.I.T,,Full,Computer Education,http://www.cs.bu.edu/faculty/spchin/About_Me.html,,
sang (peter) chin,Boston University,<a href='http://www.cs.bu.edu/faculty/spchin'>http://www.cs.bu.edu/faculty/spchin</a>,Boston University,Cambridge,Data-to-Decision (D2D),MA,Cambridge,Full,Computer Education,spchin@cs.bu.edu or schin@draper.com,,
debmalya panigrahi,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3929'>http://www.cs.duke.edu/people/faculty/?csid=3929</a>,Jadavpur University,Massachusetts Institute of Technology (MIT),,Indian Institute of Science,,Assistant,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=3929,,
donald j. rose,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=34'>http://www.cs.duke.edu/people/faculty/?csid=34</a>,University of California-Berkeley,Harvard University,,Harvard University,,Full,Scientific Computing,http://www.cs.duke.edu/~djr/,,
stan sclaroff,Boston University,<a href='http://www.cs.bu.edu/fac/sclaroff'>http://www.cs.bu.edu/fac/sclaroff</a>,Tufts University,"Massachusetts Institute of Technology (MIT),",2007,Massachusetts Institute of Technology (MIT),,Full,Human-Computer Interaction,http://www.cs.bu.edu/fac/sclaroff/,,
stan sclaroff,Boston University,<a href='http://www.cs.bu.edu/fac/sclaroff'>http://www.cs.bu.edu/fac/sclaroff</a>,Tufts University,"MIT, Media Laboratory",2007,"MIT, Media Laboratory",,Full,Computer Education,http://www.cs.bu.edu/fac/sclaroff/SclaroffCV.pdf,,
donald w. loveland,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=24'>http://www.cs.duke.edu/people/faculty/?csid=24</a>,Oberlin College,New York University,,Massachusetts Institute of Technology (MIT),,Full,Artificial Intelligence,http://www.cs.duke.edu/~dwl/,,
steve homer,Boston University,<a href='http://www.cs.bu.edu/fac/homer'>http://www.cs.bu.edu/fac/homer</a>,,M.I.T,1982,,,Full,Computer Education,http://www.cs.bu.edu/faculty/homer/shortbio.html,,
guillermo sapiro,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3922'>http://www.cs.duke.edu/people/faculty/?csid=3922</a>,,,,Israel Institute Of Technology,,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=3922,,
susan worst,Boston University,<a href='http://cs-people.bu.edu/sworst'>http://cs-people.bu.edu/sworst</a>,Washington University,,2010,Northwestern University,,Lecturer,Computer Education,,,
susan worst,Boston University,<a href='http://cs-people.bu.edu/sworst'>http://cs-people.bu.edu/sworst</a>,BA,,Boston University,,,Lecturer,Networks & Communications,,,
herbert edelsbrunner,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=436'>http://www.cs.duke.edu/people/faculty/?csid=436</a>,,"Graz University of Technology, Austria,",,"Graz University of Technology, Austria,",,Adjunct,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=436,,
wayne snyder,Boston University,<a href='http://www.cs.bu.edu/fac/snyder'>http://www.cs.bu.edu/fac/snyder</a>,,"University of Pennsylvania,",2010,Dickinson College,,Associate,Computer Education,http://www.cs.bu.edu/fac/snyder/personal.html,,
ilia baldine,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3567'>http://www.cs.duke.edu/people/faculty/?csid=3567</a>,Illinois Institute of Technology,"North Carolina State University,",,North Carolina State University,,Adjunct,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=3567,,
jeffrey r. n. forbes,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=565'>http://www.cs.duke.edu/people/faculty/?csid=565</a>,Stanford University,University of California-Berkeley,2001,None,n/a,Associate,Computer Education,http://www.cs.duke.edu/~forbes/,,
jeffrey r. n. forbes,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=565'>http://www.cs.duke.edu/people/faculty/?csid=565</a>,Stanford University,University of California-Berkeley,2001,,,Associate,Computer Education,http://www.cs.duke.edu/~forbes/,,
jeffrey s. chase,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=15'>http://www.cs.duke.edu/people/faculty/?csid=15</a>,Dartmouth College,University of Washington,,,,Full,Hardware & Architecture,,,
jeffrey s. chase,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=15'>http://www.cs.duke.edu/people/faculty/?csid=15</a>,Dartmouth College,"University of Washington, Seattle",2006,"University of Washington, Seattle",N/A,Full,Operating Systems,http://www.cs.duke.edu/~chase/cv.pdf,,
john a. board jr.,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=14'>http://www.cs.duke.edu/people/faculty/?csid=14</a>,Duke University,Oxford university,,Duke University,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=14,,
john harer,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=429'>http://www.cs.duke.edu/people/faculty/?csid=429</a>,BA,PhD,University of California,MS,MATH,Full,Algorithms & Theory,http://fds.duke.edu/db/aas/math/faculty/john.harer,,
jungsang kim,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3791'>http://www.cs.duke.edu/people/faculty/?csid=3791</a>,Seoul National University,Stanford University,,,,Associate,Real-Time & Embedded Systems,http://fds.duke.edu/db/pratt/ECE/jungsang,,
jungsang kim,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3791'>http://www.cs.duke.edu/people/faculty/?csid=3791</a>,Seoul National University,Stanford University,,,,Associate,Computer Education,http://fds.duke.edu/db/pratt/ECE/jungsang,,
kamesh munagala,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1459'>http://www.cs.duke.edu/people/faculty/?csid=1459</a>,Indian Institute of Technology Bombay,Stanford University,2004,Stanford University,Stanford University School of Medicine,Associate,Algorithms & Theory,http://www.cs.duke.edu/~kamesh/,,
kamesh munagala,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1459'>http://www.cs.duke.edu/people/faculty/?csid=1459</a>,Indian Institute of Technology Bombay,Stanford University,2013,"Stanford University,",Stanford University school of medicine,Associate,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=1459,,
katherine heller,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=4393'>http://www.cs.duke.edu/people/faculty/?csid=4393</a>,SUNY at Stony Brook,University College of London,,SUNY at Stony Brook,Massachussetts Institute of Technology,Assistant,Computer Education,http://www.stat.duke.edu/~kheller/cv.pdf,,
kishor s. trivedi,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=36'>http://www.cs.duke.edu/people/faculty/?csid=36</a>,"B.Tech., Indian Institute of Technology, Bombay","Ph.D., University of Illinois at Urbana-Champaign, 1974",1975,"M.S., University of Illinois at Urbana-Champaign, 1972",,Full,Algorithms & Theory,,,
kishor s. trivedi,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=36'>http://www.cs.duke.edu/people/faculty/?csid=36</a>,"Indian Institute of Technology, Bombay",University of Illinois at Urbana-Champaign,,University of Illinois at Urbana-Champaign,,Full,Networks & Communications,http://www.cs.duke.edu/people/faculty/?csid=36,,
krishnendu chakrabarty,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=3895'>http://www.cs.duke.edu/people/faculty/?csid=3895</a>,,,,,,,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=3895,,
landon cox,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=204'>http://www.cs.duke.edu/people/faculty/?csid=204</a>,Duke University,University of Michigan,,,,Assistant,Security & Privacy,,,
lisa r. hsu,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=4396'>http://www.cs.duke.edu/people/faculty/?csid=4396</a>,Princeton University,"University of Michigan, Ann Arbor",,"University of Michigan, Ann Arbor",,Assistant,Hardware & Architecture,http://www.cs.duke.edu/people/faculty/?csid=4396,,
mauro maggioni,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1697'>http://www.cs.duke.edu/people/faculty/?csid=1697</a>,,,,,,Full,Algorithms & Theory,,,
mauro maggioni,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1697'>http://www.cs.duke.edu/people/faculty/?csid=1697</a>,,"Washington University,",2012,Universitaâ€™ di Milano,,Full,Computer Education,http://www.math.duke.edu/~mauro/MyCV.pdf,,
merrell patrick,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=28'>http://www.cs.duke.edu/people/faculty/?csid=28</a>,,,,,,Full,Computer Education,,,
owen astrachan,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=10'>http://www.cs.duke.edu/people/faculty/?csid=10</a>,Dartmouth College,Duke University,2000,Duke University,,Full,Computer Education,http://www.cs.duke.edu/~ola/olavita.pdf,,
pankaj k. agarwal,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=8'>http://www.cs.duke.edu/people/faculty/?csid=8</a>,University of Roorkee,Courant Institute of Mathematical Sciences,2002,University of California-Santa Barbara,,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=8,,
pankaj k. agarwal,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=8'>http://www.cs.duke.edu/people/faculty/?csid=8</a>,University of Roorkee,Courant Institute of Mathematical Sciences,,University of California-Santa Barbara,,Full,Bioinformatics & Computational Biology,,,
rachael brady,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=943'>http://www.cs.duke.edu/people/faculty/?csid=943</a>,Macalester College,,,University of California,,Other,Algorithms & Theory,http://www.cs.duke.edu/~rbrady,,
raluca mihaela gordan,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1579'>http://www.cs.duke.edu/people/faculty/?csid=1579</a>,"University of Iasi, Iasi, Romania",Duke university,,,,,Bioinformatics & Computational Biology,http://www.cs.duke.edu/people/faculty/?csid=1579,,
barbara mones,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/mones'>http://www.cs.washington.edu/people/faculty/mones</a>,,,,"George Mason University in Fairfax, Virginia",,Associate,Graphics,http://www.cs.washington.edu/people/faculty/mones,,
barbara mones,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/mones'>http://www.cs.washington.edu/people/faculty/mones</a>,,,University of Washington,,,Other,Software Engineering,http://www.cs.washington.edu/people/faculty/mones/,,
barbara mones,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/mones'>http://www.cs.washington.edu/people/faculty/mones</a>,,Rhode Island School of Design,2003,Sheridan College,,Associate,Multimedia,http://www.cs.washington.edu/people/faculty/mones http://homes.cs.washington.edu/~mones/biography.html,,
gaetano borriello,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/gaetano'>http://www.cs.washington.edu/people/faculty/gaetano</a>,Polytechnic Institute,University of California,,Stanford University,,,Algorithms & Theory,http://www.cs.washington.edu/people/faculty/gaetano,,
gaetano borriello,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/gaetano'>http://www.cs.washington.edu/people/faculty/gaetano</a>,Polytechnic Institute of New York,University of California at Berkeley,1988,Stanford University,,Full,Networks & Communications,,,
gaetano borriello,University of Washington,<a href='http://www.cs.washington.edu/people/faculty/gaetano'>http://www.cs.washington.edu/people/faculty/gaetano</a>,Polytechnic Institute of New York,University of California at Berkeley,,Stanford University,,Full,Computer Education,,,
shivnath babu,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1492'>http://www.cs.duke.edu/people/faculty/?csid=1492</a>,2008,Stanford University,2011,Institute of Technology Madras,2011,Assistant,Computer Education,http://www.cs.duke.edu/~shivnath/publications.html,,
dr daniel kudenko,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko</a>,"University of Saarland, Saarbruecken",Rutgers University,1993,"University of Saarland, Saarbruecken",,Other,Machine Learning & Pattern Recognition,"http://www-users.cs.york.ac.uk/~kudenko/, http://www-users.cs.york.ac.uk/~kudenko/cv-kudenko-public.pdf",,
dr daniel kudenko,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko</a>,Saarland University,N/A,1998,Rutgers University,N/A,Lecturer,Machine Learning & Pattern Recognition,http://www-users.cs.york.ac.uk/~kudenko/cv-kudenko-public.pdf,,
dr daniel kudenko,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko</a>,,"Rutgers University, New Jersey, USA",,"University of Saarland, Saarbruecken",,Lecturer,Artificial Intelligence,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=kudenko,,
dr s king,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king</a>,,Oxford,,Oxford,,Lecturer,Computer Education,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king#tab-1,,
dr s king,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king</a>,,Oxford,,Oxford,,Lecturer,Programming Languages,http://www-users.cs.york.ac.uk/~king/,,
dr s king,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=king</a>,Oxford,Oxford,,Oxford,,Lecturer,Computer Education,http://www-users.cs.york.ac.uk/~king/,,
dr tommy yuan,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tommy'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tommy</a>,n/a,n/a,2009,n/a,n/a,Other,Human-Computer Interaction,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=tommy,,
eric koskinen,New York University,<a href='http://cs.nyu.edu/~ejk'>http://cs.nyu.edu/~ejk</a>,"College of William & Mary, 2001","University of Cambridge, 2012.",2012,"Brown University, 2008.","University of Cambridge, 2012.",Visiting,Computer Vision,,,
john clark,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac</a>,Oxon,Ebor,1992,Oxon,,Full,Security & Privacy,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=jac,,
richard paige,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige</a>,,University of Toronto,2009,,,Full,Computer Education,http://www-users.cs.york.ac.uk/~paige/,,
richard paige,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige</a>,McMaster University,University of Toronto,2001,University of Toronto,,Full,Software Engineering,http://www-users.cs.york.ac.uk/~paige/,,
richard paige,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige</a>,,,2001,,,Full,Software Engineering,http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=paige#tab-1,,
richard wilson,New York University,<a href='http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wilson'>http://www.cs.york.ac.uk/people/?group=Academic%20and%20Teaching%20Staff&username=wilson</a>,"St. John's College, Oxford",University of York,,2008,University of York,Full,Computer Vision,http://www-users.cs.york.ac.uk/~wilson/,,
daniel j. sorin,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1280'>http://www.cs.duke.edu/people/faculty/?csid=1280</a>,Duke University,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Associate,Computer Education,http://www.cs.duke.edu/people/faculty/?csid=1280,,
daniel j. sorin,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1280'>http://www.cs.duke.edu/people/faculty/?csid=1280</a>,Duke University,University of Wisconsin-Madison,,University of Wisconsin-Madison,,Associate,Hardware & Architecture,,,
daniel j. sorin,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=1280'>http://www.cs.duke.edu/people/faculty/?csid=1280</a>,"Duke University,",Wisconsin-Madison,,Wisconsin-Madison,,Associate,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=1280,,
lars arge,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=9'>http://www.cs.duke.edu/people/faculty/?csid=9</a>,"University of Aarhus, Denmark","University of Aarhus, Denmark",,"University of Aarhus, Denmark",,Full,Algorithms & Theory,http://www.madalgo.au.dk/~large/cv.pdf,,
lars arge,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=9'>http://www.cs.duke.edu/people/faculty/?csid=9</a>,"University of Aarhus, Denmark,","University of Aarhus, Denmark,",,"University of Aarhus, Denmark,",,Full,Algorithms & Theory,http://www.cs.duke.edu/people/faculty/?csid=9,,
lars arge,Duke University,<a href='http://www.cs.duke.edu/people/faculty/?csid=9'>http://www.cs.duke.edu/people/faculty/?csid=9</a>,"University of Aarhus, Denmark, 1990","University of Aarhus, Denmark, 1996",Jan-07,"University of Aarhus, Denmark, 1993",,Full,Algorithms & Theory,,,
